threshold,avg_k,recall,mrr
0.1,4.081278890600925,0.7187981510015409,0.5357838371609558
0.15000000000000002,4.510015408320493,0.7399845916795069,0.5390629967960476
0.20000000000000004,4.817411402157165,0.763482280431433,0.5427064225793039
0.25000000000000006,5.1248073959938365,0.7908320493066255,0.5475178540856507
0.30000000000000004,5.362095531587057,0.810477657935285,0.5508985129747841
0.3500000000000001,5.418721109399075,0.8158705701078582,0.5519929928828233
0.40000000000000013,5.7449922958397535,0.8378274268104776,0.5563279587643994
0.45000000000000007,6.003852080123266,0.8466872110939908,0.5582636290263409
0.5000000000000001,6.0685670261941445,0.849768875192604,0.558812397583584
0.5500000000000002,6.09553158705701,0.850924499229584,0.559060031305794
0.6000000000000002,6.130585516178736,0.8516949152542372,0.5592141145107247
0.6500000000000001,6.160246533127889,0.8516949152542372,0.5592141145107247
0.7000000000000002,6.1899075500770415,0.8516949152542372,0.5592141145107247
0.7500000000000002,6.230354391371341,0.8532357473035439,0.5595415413212023
0.8000000000000002,6.386748844375963,0.8543913713405239,0.5598304473304473
0.8500000000000002,6.5053929121725735,0.8547765793528506,0.5599267493335289
0.9000000000000002,6.632126348228043,0.8567026194144838,0.5603119573458556
0.9500000000000003,6.866718027734977,0.8567026194144838,0.5603119573458556
