statement_id,variant_type,top1,top2,top3,gap12,gap13,gap23,mean,std,min,max,range,cv,rank_baseline,found_baseline,recall@1_baseline,recall@5_baseline,mrr_baseline,best_k,rule_k,confidence,RCS_baseline,CRCS,selected_k,RCS_adaptive,rank_adaptive,found_adaptive,recall@1_adaptive,recall@5_adaptive,recall@10,mrr_adaptive
0,original,0.8447707891464233,0.8417892456054688,0.8396367430686951,0.00298154354095459,0.0051340460777282715,0.0021525025367736816,0.8367783188819885,0.003936214234737461,0.8313077092170715,0.8447707891464233,0.013463079929351807,0.0047040107826844734,3.0,True,0.0,1.0,0.3333333333333333,3,10,1,0.19844236717984579,0.35521790054089303,10,0.35521790054089303,3.0,True,0,1,1,0.3333333333333333
0,biomarker_synonym,0.8397710919380188,0.8389097452163696,0.8318060636520386,0.0008613467216491699,0.007965028285980225,0.007103681564331055,0.8266846477985382,0.007576093025285742,0.8186661005020142,0.8397710919380188,0.02110499143600464,0.009164429320734191,3.0,True,0.0,1.0,0.3333333333333333,3,10,1,0.19065727564321375,0.35521790054089303,10,0.35521790054089303,3.0,True,0,1,1,0.3333333333333333
0,biomarker_order,0.8473682403564453,0.8455488681793213,0.8427019119262695,0.0018193721771240234,0.004666328430175781,0.002846956253051758,0.8392809689044952,0.004872512703072863,0.8325361609458923,0.8473682403564453,0.014832079410552979,0.005805579875631999,2.0,True,0.0,1.0,0.5,3,10,1,0.18215199413559072,0.35521790054089303,10,0.35521790054089303,2.0,True,0,1,1,0.5
0,wording,0.8369168639183044,0.8316153287887573,0.8314262628555298,0.005301535129547119,0.005490601062774658,0.00018906593322753906,0.8294571042060852,0.0031878429820675104,0.8259657621383667,0.8369168639183044,0.010951101779937744,0.003843288538855489,4.0,True,0.0,1.0,0.25,5,5,0,0.00241927907890779,0.24285617544979807,10,0.24285617544979807,4.0,True,0,1,1,0.25
1,original,0.8535035252571106,0.8525875210762024,0.852341890335083,0.0009160041809082031,0.0011616349220275879,0.00024563074111938477,0.8500655829906464,0.002232224812512278,0.8468162417411804,0.8535035252571106,0.006687283515930176,0.002625944229689911,1.0,True,1.0,1.0,1.0,1,10,1,0.1399652227793795,0.42046310309952845,10,0.42046310309952845,1.0,True,1,1,1,1.0
1,biomarker_synonym,0.84413743019104,0.8376506567001343,0.8349932432174683,0.006486773490905762,0.009144186973571777,0.0026574134826660156,0.8336952805519104,0.004392265997257811,0.8289732933044434,0.84413743019104,0.01516413688659668,0.005268430924006322,2.0,True,0.0,1.0,0.5,3,5,1,0.14112991537785274,0.4135482094825072,10,0.4135482094825072,2.0,True,0,1,1,0.5
1,biomarker_order,0.8538253903388977,0.8516753315925598,0.8515154719352722,0.0021500587463378906,0.0023099184036254883,0.00015985965728759766,0.8469076335430146,0.0040310348627857345,0.8419584035873413,0.8538253903388977,0.011866986751556396,0.004759710153894837,1.0,True,1.0,1.0,1.0,1,10,1,0.13689613799056127,0.42046310309952845,10,0.42046310309952845,1.0,True,1,1,1,1.0
1,wording,0.843889594078064,0.8438516855239868,0.8416821360588074,3.790855407714844e-05,0.002207458019256592,0.0021695494651794434,0.8406096220016479,0.0021624878557240613,0.8374440670013428,0.843889594078064,0.006445527076721191,0.002572523320128998,3.0,True,0.0,1.0,0.3333333333333333,3,10,1,0.1571825713067156,0.43412769937282036,10,0.43412769937282036,3.0,True,0,1,1,0.3333333333333333
2,original,0.8509476780891418,0.8503634333610535,0.850013792514801,0.0005842447280883789,0.0009338855743408203,0.0003496408462524414,0.8476682186126709,0.002357150882604258,0.8443396091461182,0.8509476780891418,0.006608068943023682,0.0027807470315002127,1.0,True,1.0,1.0,1.0,1,10,1,0.0012683957016182224,0.35521790054089303,10,0.35521790054089303,1.0,True,1,1,1,1.0
2,biomarker_synonym,0.8446509838104248,0.8352720737457275,0.8345890641212463,0.009378910064697266,0.010061919689178467,0.0006830096244812012,0.833029592037201,0.00451709029038537,0.8277451395988464,0.8446509838104248,0.01690584421157837,0.005422484787531591,4.0,True,0.0,1.0,0.25,5,5,0,0.003672304047589842,0.24977106906681934,10,0.24977106906681934,4.0,True,0,1,1,0.25
