Metric,Baseline,Adaptive,Improvement (%),Wilcoxon Statistic,P-value,Cohen's d
recall@1,0.42724458204334365,0.42879256965944273,0.36231884057971436,1386.0,0.6463551955394902,0.00312796360033882
recall@5,0.7383900928792569,0.7380030959752322,-0.05241090146750585,2162.0,0.917411260192041,-0.0008801360638606966
mrr,0.5604630448670697,0.5576117069634872,-0.5087468174210799,12236.0,0.9752141953587462,-0.007041451583626213
