Feature,Importance
min,0.1509148444625704
cv,0.1254125235762153
std,0.11310005274332051
range,0.10559156023290808
mean,0.08822797353779134
gap13,0.08201375043237688
top3,0.06844966590667913
gap23,0.05616856076236957
gap12,0.055828035069859026
top2,0.05421352367049994
top1,0.05062179170574305
max,0.049457717899666895
