Method,Recall@1,Recall@5,Recall@10,MRR,Average_k
Baseline (Fixed k=5),0.42724458204334365,0.7383900928792569,0.8618421052631579,0.5604630448670697,5.0
Rule-based Dynamic-k,0.4283513097072419,0.7395993836671803,0.8624807395993837,0.5617243867243867,6.23
+ Confidence Classifier,0.4283513097072419,0.7395993836671803,0.8624807395993837,0.5617243867243867,6.2
+ CRCS,0.4283513097072419,0.7395993836671803,0.8624807395993837,0.5617243867243867,6.2
Full Method (CRCS + Optimization),0.4283513097072419,0.7395993836671803,0.8624807395993837,0.5617243867243867,6.2
